#options: 4320x7680 fps=120/1 timebase=1/120 bitdepth=8 cabac=1 ref=1 deblock=1:0:0 analyse=0x1:0 me=dia subme=2 psy=1 psy_rd=1.00:0.00 mixed_ref=0 me_range=16 chroma_me=1 trellis=0 8x8dct=0 cqm=0 deadzone=21,11 fast_pskip=1 chroma_qp_offset=0 threads=12 lookahead_threads=4 sliced_threads=0 nr=0 decimate=1 interlaced=0 bluray_compat=0 constrained_intra=0 bframes=3 b_pyramid=2 b_adapt=1 b_bias=0 direct=1 weightb=1 open_gop=0 weightp=2 keyint=250 keyint_min=25 scenecut=40 intra_refresh=0 rc_lookahead=40 rc=abr mbtree=1 bitrate=13500 ratetol=1.0 qcomp=0.60 qpmin=0 qpmax=69 qpstep=4 ip_ratio=1.40 aq=1:1.00
in:81 out:83 type:b dur:8 cpbdur:8 q:39.51 aq:33.70 tex:103642 mv:197280 misc:63062 imb:8365 pmb:12811 smb:108424 d:- ref:0 ;
in:83 out:84 type:b dur:8 cpbdur:8 q:39.44 aq:33.84 tex:109209 mv:194409 misc:65006 imb:7461 pmb:13661 smb:108478 d:- ref:0 ;
in:88 out:85 type:P dur:8 cpbdur:8 q:39.38 aq:31.96 tex:410346 mv:327983 misc:84407 imb:49249 pmb:8660 smb:71691 d:- ref:0 ;
in:86 out:86 type:B dur:8 cpbdur:8 q:39.39 aq:31.89 tex:202082 mv:338275 misc:90315 imb:16623 pmb:19020 smb:93957 d:- ref:0 ;
in:85 out:87 type:b dur:8 cpbdur:8 q:39.39 aq:32.55 tex:109555 mv:215413 misc:71168 imb:9015 pmb:14171 smb:106414 d:- ref:0 ;
in:87 out:88 type:b dur:8 cpbdur:8 q:39.38 aq:33.45 tex:95848 mv:170391 misc:58761 imb:6592 pmb:11593 smb:111415 d:- ref:0 ;
in:89 out:89 type:P dur:8 cpbdur:8 q:39.24 aq:32.23 tex:229378 mv:225654 misc:76520 imb:23454 pmb:8899 smb:97247 d:- ref:0 ;
in:90 out:90 type:I dur:8 cpbdur:8 q:36.95 aq:30.71 tex:945216 mv:514570 misc:4318 imb:129600 pmb:0 smb:0 d:- ref:;
in:93 out:91 type:P dur:8 cpbdur:8 q:39.51 aq:30.47 tex:487405 mv:423093 misc:72710 imb:74837 pmb:8929 smb:45834 d:- ref:0 ;
in:91 out:92 type:B dur:8 cpbdur:8 q:39.51 aq:31.84 tex:132218 mv:237958 misc:69448 imb:10885 pmb:14452 smb:104263 d:- ref:0 ;
in:92 out:93 type:b dur:10 cpbdur:10 q:39.51 aq:32.81 tex:131040 mv:235523 misc:69485 imb:11933 pmb:13613 smb:104054 d:- ref:0 ;
in:94 out:94 type:P dur:8 cpbdur:8 q:39.58 aq:31.09 tex:327324 mv:319495 misc:84109 imb:44336 pmb:9686 smb:75578 d:- ref:0 ;
in:97 out:95 type:P dur:8 cpbdur:8 q:39.57 aq:32.46 tex:557698 mv:420705 misc:64013 imb:81649 pmb:7780 smb:40171 d:- ref:0 ;
in:95 out:96 type:B dur:8 cpbdur:8 q:39.58 aq:32.80 tex:215118 mv:342137 misc:87105 imb:18553 pmb:19098 smb:91949 d:- ref:0 ;
in:96 out:97 type:b dur:8 cpbdur:8 q:39.57 aq:33.39 tex:159633 mv:265107 misc:77868 imb:13598 pmb:15901 smb:100101 d:- ref:0 ;
in:98 out:98 type:P dur:8 cpbdur:8 q:39.72 aq:31.89 tex:392241 mv:344733 misc:72018 imb:58512 pmb:8519 smb:62569 d:- ref:0 ;
in:100 out:99 type:P dur:8 cpbdur:8 q:39.79 aq:33.01 tex:492036 mv:388296 misc:75676 imb:69114 pmb:8050 smb:52436 d:- ref:0 ;
in:99 out:100 type:b dur:8 cpbdur:8 q:39.75 aq:33.91 tex:181940 mv:287711 misc:84093 imb:14852 pmb:17744 smb:97004 d:- ref:0 ;
in:103 out:101 type:P dur:8 cpbdur:8 q:39.77 aq:31.36 tex:571312 mv:408834 misc:56734 imb:90565 pmb:5804 smb:33231 d:- ref:0 ;
in:101 out:102 type:B dur:8 cpbdur:8 q:39.79 aq:32.72 tex:198216 mv:339446 misc:90746 imb:18208 pmb:17447 smb:93945 d:- ref:0 ;
in:102 out:103 type:b dur:8 cpbdur:8 q:39.78 aq:33.60 tex:148443 mv:269709 misc:80520 imb:13585 pmb:15464 smb:100551 d:- ref:0 ;
in:107 out:104 type:P dur:8 cpbdur:8 q:40.01 aq:33.06 tex:624127 mv:367727 misc:66314 imb:77327 pmb:6619 smb:45654 d:- ref:0 ;
in:105 out:105 type:B dur:8 cpbdur:8 q:39.89 aq:32.33 tex:215960 mv:362316 misc:94948 imb:22202 pmb:17408 smb:89990 d:- ref:0 ;
in:104 out:106 type:b dur:8 cpbdur:8 q:39.83 aq:32.81 tex:128542 mv:267157 misc:82437 imb:12721 pmb:15482 smb:101397 d:- ref:0 ;
in:106 out:107 type:b dur:8 cpbdur:8 q:39.95 aq:34.31 tex:112508 mv:194497 misc:75747 imb:6591 pmb:17021 smb:105988 d:- ref:0 ;
in:110 out:108 type:P dur:8 cpbdur:8 q:40.49 aq:32.64 tex:368601 mv:302470 misc:73081 imb:61305 pmb:5314 smb:62981 d:- ref:0 ;
in:108 out:109 type:B dur:8 cpbdur:8 q:40.17 aq:32.62 tex:117398 mv:231474 misc:80528 imb:9370 pmb:15779 smb:104451 d:- ref:0 ;
in:109 out:110 type:b dur:8 cpbdur:8 q:40.33 aq:33.32 tex:85928 mv:178683 misc:68477 imb:7813 pmb:12024 smb:109763 d:- ref:0 ;
in:113 out:111 type:P dur:8 cpbdur:8 q:40.86 aq:32.46 tex:370796 mv:312945 misc:67091 imb:69254 pmb:4588 smb:55758 d:- ref:0 ;
in:111 out:112 type:B dur:8 cpbdur:8 q:40.61 aq:32.69 tex:120764 mv:249618 misc:79754 imb:13357 pmb:14032 smb:102211 d:- ref:0 ;
in:112 out:113 type:b dur:8 cpbdur:8 q:40.74 aq:32.96 tex:99702 mv:210869 misc:73229 imb:11258 pmb:12063 smb:106279 d:- ref:0 ;
in:114 out:114 type:P dur:8 cpbdur:8 q:41.21 aq:32.64 tex:155277 mv:176459 misc:73464 imb:22819 pmb:4877 smb:101904 d:- ref:0 ;
in:115 out:115 type:I dur:8 cpbdur:8 q:37.14 aq:29.29 tex:874735 mv:462019 misc:4758 imb:129600 pmb:0 smb:0 d:- ref:;
in:117 out:116 type:P dur:8 cpbdur:8 q:41.51 aq:33.25 tex:287251 mv:276033 misc:58316 imb:63044 pmb:4103 smb:62453 d:- ref:0 ;
in:116 out:117 type:b dur:8 cpbdur:8 q:41.51 aq:33.93 tex:95446 mv:214865 misc:68305 imb:12484 pmb:11430 smb:105686 d:- ref:0 ;
in:118 out:118 type:P dur:8 cpbdur:8 q:41.60 aq:33.11 tex:249869 mv:246727 misc:80580 imb:43754 pmb:4827 smb:81019 d:- ref:0 ;
in:119 out:119 type:P dur:8 cpbdur:8 q:41.60 aq:33.12 tex:239008 mv:236605 misc:85563 imb:39831 pmb:5136 smb:84633 d:- ref:0 ;
in:121 out:120 type:P dur:8 cpbdur:8 q:41.65 aq:33.58 tex:399413 mv:321470 misc:56493 imb:86258 pmb:3358 smb:39984 d:- ref:0 ;
in:120 out:121 type:b dur:8 cpbdur:8 q:41.63 aq:36.14 tex:103239 mv:211084 misc:71133 imb:13248 pmb:12293 smb:104059 d:- ref:0 ;
in:122 out:122 type:P dur:8 cpbdur:8 q:41.61 aq:33.76 tex:245931 mv:238226 misc:71307 imb:46443 pmb:4583 smb:78574 d:- ref:0 ;
in:123 out:123 type:P dur:8 cpbdur:8 q:41.68 aq:33.78 tex:238639 mv:237625 misc:71480 imb:46827 pmb:4703 smb:78070 d:- ref:0 ;
in:124 out:124 type:P dur:8 cpbdur:8 q:41.70 aq:33.39 tex:239823 mv:250928 misc:74177 imb:50604 pmb:4806 smb:74190 d:- ref:0 ;
in:125 out:125 type:P dur:8 cpbdur:8 q:41.70 aq:33.66 tex:231330 mv:239131 misc:80443 imb:42401 pmb:5443 smb:81756 d:- ref:0 ;
in:126 out:126 type:P dur:8 cpbdur:8 q:41.66 aq:33.38 tex:255467 mv:255739 misc:77122 imb:49967 pmb:5104 smb:74529 d:- ref:0 ;
in:129 out:127 type:P dur:8 cpbdur:8 q:41.75 aq:33.06 tex:420418 mv:338309 misc:49297 imb:90572 pmb:4101 smb:34927 d:- ref:0 ;
in:127 out:128 type:B dur:8 cpbdur:8 q:41.69 aq:33.82 tex:187952 mv:327029 misc:86475 imb:21919 pmb:16086 smb:91595 d:- ref:0 ;
in:128 out:129 type:b dur:8 cpbdur:8 q:41.72 aq:34.06 tex:142704 mv:279335 misc:83481 imb:17404 pmb:15419 smb:96777 d:- ref:0 ;
in:131 out:130 type:P dur:8 cpbdur:8 q:41.74 aq:33.73 tex:320818 mv:281253 misc:67161 imb:61118 pmb:4562 smb:63920 d:- ref:0 ;
in:130 out:131 type:b dur:8 cpbdur:8 q:41.74 aq:33.23 tex:117898 mv:264561 misc:82453 imb:15287 pmb:14337 smb:99976 d:- ref:0 ;
in:134 out:132 type:P dur:8 cpbdur:8 q:41.80 aq:34.03 tex:382493 mv:306041 misc:62578 imb:73310 pmb:3748 smb:52542 d:- ref:0 ;
in:132 out:133 type:B dur:8 cpbdur:8 q:41.76 aq:33.60 tex:143364 mv:286238 misc:85062 imb:16943 pmb:14547 smb:98110 d:- ref:0 ;
